	0
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.FTA.4C.1week.II')	2.4031076005586836
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.FTA.4C.4weeks.II')	2.486165302222269
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.FTA.amb.1week.II')	4.064450474149547
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.FTA.amb.4weeks.II')	3.9026675542674845
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.FTA.heat.1week.II')	2.467718435545801
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.None.4C.1week.II')	6.206238475404688
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.None.4C.4weeks.II')	2.610043027609148
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.None.amb.4weeks.II')	3.041061347145333
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.None.freezethaw.1week.II')	8.541938298817055
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.Omni.4C.1week.II')	6.396497424206041
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.Omni.4C.4weeks.II')	3.925029374803481
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.Omni.amb.1week.II')	2.2724276339398033
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.Omni.amb.4weeks.II')	6.143374963450667
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.Omni.freezethaw.1week.II')	4.127125576835607
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.Omni.heat.1week.II')	3.9518494440478253
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.RNA.4C.4weeks.II')	4.103482367978623
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.RNA.amb.4weeks.II')	4.009452404651567
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.RNA.freezethaw.1week.II')	4.072239154445205
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.FTA.4C.1week.II')	2.1200527738845825
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.FTA.4C.4weeks.II')	0.821892892370926
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.FTA.amb.1week.II')	1.0426630898119478
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.FTA.amb.4weeks.II')	2.3403521918595214
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.FTA.heat.1week.II')	3.5384375177646037
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.None.4C.1week.II')	7.074265608364884
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.None.4C.4weeks.II')	2.20318391642238
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.None.amb.4weeks.II')	3.289946849601871
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.None.freezethaw.1week.II')	2.836045521467121
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.Omni.4C.1week.II')	1.1514513370422872
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.Omni.4C.4weeks.II')	2.649779499800816
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.Omni.amb.1week.II')	0.8577151174330278
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.Omni.amb.4weeks.II')	1.6494010287595264
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.Omni.freezethaw.1week.II')	2.339879809872852
